City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mount Gambier,AU,-37.8333,140.7667,67.55,44,5,1.81,clear sky
1,Kalemie,CD,-5.9475,29.1947,70.02,88,100,6.38,light rain
2,Fortuna,US,40.5982,-124.1573,61.36,68,90,1.01,overcast clouds
3,Alamos,MX,27.0167,-108.9333,78.71,52,100,3.67,overcast clouds
4,Turukhansk,RU,65.8167,87.9833,5.25,97,95,3.4,overcast clouds
5,Llanes,ES,43.4198,-4.7549,58.89,86,100,20.2,overcast clouds
6,Cabo San Lucas,MX,22.8909,-109.9124,81.7,76,75,5.01,broken clouds
7,Qaanaaq,GL,77.484,-69.3632,16.7,71,100,8.72,overcast clouds
8,Castro,BR,-24.7911,-50.0119,58.69,98,97,6.85,overcast clouds
9,Port Elizabeth,ZA,-33.918,25.5701,64.09,100,75,17.27,mist
10,Jinxiang,CN,27.4327,120.6062,67.03,79,100,9.06,light rain
11,Yishui,CN,35.7847,118.6281,53.33,63,0,11.99,light rain
12,Saint George,US,37.1041,-113.5841,72.95,35,1,3.44,clear sky
13,Agua Dulce,MX,18.1333,-94.1333,80.38,75,9,8.05,clear sky
14,Harper,LR,4.375,-7.7169,77.45,87,96,7.9,overcast clouds
15,Port Lincoln,AU,-34.7333,135.8667,71.53,43,0,9.06,clear sky
16,Vina Del Mar,CL,-33.0246,-71.5518,58.32,73,20,5.75,few clouds
17,Half Moon Bay,US,37.4636,-122.4286,64.24,76,1,1.01,clear sky
18,Port Blair,IN,11.6667,92.75,81.73,78,54,4.29,broken clouds
19,Punta Arenas,CL,-53.15,-70.9167,50.11,53,0,8.05,clear sky
20,Akranes,IS,64.3218,-22.0749,36.19,70,15,19.66,few clouds
21,Russell,US,32.3502,-85.1999,56.43,90,1,0.0,clear sky
22,Moche,PE,-8.1711,-79.0092,60.98,88,90,11.5,mist
23,Skjervoy,NO,70.0311,20.9714,40.89,78,100,17.13,overcast clouds
24,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,88,20,3.8,few clouds
25,Ushuaia,AR,-54.8,-68.3,46.06,76,0,9.22,clear sky
26,Hasaki,JP,35.7333,140.8333,63.28,73,100,5.7,overcast clouds
27,Sola,VU,-13.8833,167.55,80.87,74,16,14.25,few clouds
28,Hermanus,ZA,-34.4187,19.2345,60.91,81,100,10.8,overcast clouds
29,Severo-Kurilsk,RU,50.6789,156.125,36.05,58,80,25.23,light rain
30,Bredasdorp,ZA,-34.5322,20.0403,60.28,73,100,10.49,overcast clouds
31,Cape Town,ZA,-33.9258,18.4232,63.88,73,100,1.01,light rain
32,Mezhdurechensk,RU,53.6942,88.0603,25.61,92,100,12.62,snow
33,Hobart,AU,-42.8794,147.3294,65.01,54,75,5.01,broken clouds
34,Albany,US,42.6001,-73.9662,55.94,79,100,10.38,overcast clouds
35,Vaini,TO,-21.2,-175.2,80.76,83,40,11.5,scattered clouds
36,Peleduy,RU,59.6289,112.7406,24.35,90,100,2.08,overcast clouds
37,Necochea,AR,-38.5473,-58.7368,52.41,78,100,8.08,overcast clouds
38,Puerto Penasco,MX,31.3167,-113.5333,75.9,78,4,1.01,clear sky
39,Roebourne,AU,-20.7833,117.1333,77.72,52,0,8.32,clear sky
40,Swift Current,CA,50.2834,-107.8014,29.17,50,0,6.76,clear sky
41,Tasiilaq,GL,65.6145,-37.6368,23.16,58,9,8.23,clear sky
42,Lasa,IT,46.6166,10.7002,50.74,98,100,3.83,overcast clouds
43,Tuatapere,NZ,-46.1333,167.6833,55.31,70,97,10.65,overcast clouds
44,Khatanga,RU,71.9667,102.5,5.4,96,100,11.9,light snow
45,Mataura,NZ,-46.1927,168.8643,61.63,49,100,10.96,overcast clouds
46,Muisne,EC,0.6,-80.0333,76.01,79,68,4.45,broken clouds
47,Chuy,UY,-33.6971,-53.4616,63.7,97,95,8.01,moderate rain
48,Nikolskoye,RU,59.7035,30.7861,47.39,88,98,6.8,overcast clouds
49,Burnie,AU,-41.0667,145.9167,64.92,57,95,11.95,overcast clouds
50,Kahului,US,20.8947,-156.47,85.26,67,40,10.36,scattered clouds
51,Longyearbyen,SJ,78.2186,15.6401,33.64,69,40,20.71,scattered clouds
52,Esperance,AU,-33.8667,121.9,67.84,44,100,15.21,overcast clouds
53,Vanderhoof,CA,54.0166,-124.0198,29.93,62,7,3.91,clear sky
54,Rikitea,PF,-23.1203,-134.9692,73.08,78,100,17.69,overcast clouds
55,Fereydun Kenar,IR,36.6864,52.5225,60.3,80,22,2.46,few clouds
56,Port Alfred,ZA,-33.5906,26.891,66.06,81,100,15.08,overcast clouds
57,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,80,75,13.8,broken clouds
58,Norman Wells,CA,65.282,-126.8329,19.44,93,75,2.3,broken clouds
59,Carnarvon,AU,-24.8667,113.6333,71.67,60,75,18.41,broken clouds
60,Thinadhoo,MV,0.5333,72.9333,82.78,75,100,20.87,light rain
61,Saskylakh,RU,71.9167,114.0833,4.59,97,99,6.82,overcast clouds
62,Hithadhoo,MV,-0.6,73.0833,81.81,77,100,19.64,overcast clouds
63,Mossendjo,CG,-2.9506,12.7261,70.0,100,100,2.15,overcast clouds
64,Georgetown,MY,5.4112,100.3354,81.9,87,20,4.61,few clouds
65,Emmett,US,43.8735,-116.4993,58.35,69,6,1.01,clear sky
66,Svetlogorsk,BY,52.6333,29.7333,38.3,78,0,6.91,clear sky
67,Montes Altos,BR,-5.8333,-47.0667,79.29,67,87,3.96,overcast clouds
68,Conde,BR,-7.2597,-34.9075,78.26,78,20,5.75,few clouds
69,Barrow,US,71.2906,-156.7887,24.82,80,1,14.97,clear sky
70,Kaihua,CN,23.3687,104.28,60.35,99,100,3.6,overcast clouds
71,Petropavlovka,RU,50.6114,105.3196,33.19,68,100,1.95,overcast clouds
72,Lagoa,PT,39.05,-27.9833,68.16,92,100,9.4,overcast clouds
73,Namatanai,PG,-3.6667,152.4333,85.19,68,80,9.71,light rain
74,Hambantota,LK,6.1241,81.1185,78.75,86,100,7.96,overcast clouds
75,Arraial Do Cabo,BR,-22.9661,-42.0278,70.05,94,100,21.59,light rain
76,Bandarbeyla,SO,9.4942,50.8122,77.7,77,88,10.67,overcast clouds
77,New Norfolk,AU,-42.7826,147.0587,64.65,49,100,4.0,overcast clouds
78,Novobiryusinskiy,RU,56.9578,97.7076,35.26,81,100,9.13,overcast clouds
79,Sur,OM,22.5667,59.5289,81.25,52,0,8.97,clear sky
80,Mitsamiouli,KM,-11.3847,43.2844,78.39,79,4,11.25,clear sky
81,Provideniya,RU,64.3833,-173.3,19.51,58,0,11.18,clear sky
82,Port Macquarie,AU,-31.4333,152.9167,71.56,52,98,9.35,overcast clouds
83,Khandyga,RU,62.6667,135.6,7.95,84,100,4.14,overcast clouds
84,Bethel,US,41.3712,-73.414,57.02,86,1,1.01,clear sky
85,Belmonte,BR,-15.8631,-38.8828,77.5,85,36,7.52,scattered clouds
86,East London,ZA,-33.0153,27.9116,64.98,83,100,13.78,overcast clouds
87,The Valley,AI,18.217,-63.0578,81.82,68,0,13.62,clear sky
88,Vila Velha,BR,-20.3297,-40.2925,69.75,100,90,2.3,light rain
89,Mweka,CD,-4.85,21.5667,67.51,99,100,1.63,light rain
90,Gargzdai,LT,55.7128,21.4033,47.98,78,55,11.88,broken clouds
91,Forest Grove,US,45.5198,-123.1107,57.78,48,1,1.99,clear sky
92,Valdivia,CL,-39.8142,-73.2459,53.69,94,0,3.09,clear sky
93,Mar Del Plata,AR,-38.0023,-57.5575,55.09,90,90,1.99,light rain
94,Namibe,AO,-15.1961,12.1522,64.06,78,17,7.87,few clouds
95,Luderitz,NA,-26.6481,15.1594,61.61,69,100,7.49,overcast clouds
96,Busselton,AU,-33.65,115.3333,56.08,62,94,18.41,overcast clouds
97,Atuona,PF,-9.8,-139.0333,78.66,73,0,17.36,clear sky
98,Carmo,BR,-21.9336,-42.6086,67.23,98,100,3.11,light rain
99,Lompoc,US,34.6391,-120.4579,64.13,80,1,8.05,clear sky
100,Avera,US,33.194,-82.5271,59.72,75,0,6.96,clear sky
101,Guerrero Negro,MX,27.9769,-114.0611,65.16,81,1,11.83,clear sky
102,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,71,0,8.05,clear sky
103,Verkhnevilyuysk,RU,63.4453,120.3167,15.1,83,100,6.62,overcast clouds
104,Hasilpur,PK,29.7122,72.5553,69.01,20,0,8.12,clear sky
105,Chokurdakh,RU,70.6333,147.9167,-10.77,100,87,6.6,overcast clouds
106,Broken Hill,AU,-31.95,141.4333,74.73,17,63,13.15,broken clouds
107,Ponta Do Sol,PT,32.6667,-17.1,72.23,76,60,3.13,broken clouds
108,Jamestown,US,42.097,-79.2353,51.08,85,90,7.0,overcast clouds
109,Kendari,ID,-3.945,122.4989,83.98,75,100,3.98,overcast clouds
110,Coquimbo,CL,-29.9533,-71.3436,56.93,88,75,6.91,broken clouds
111,Burns Lake,CA,54.2331,-125.7533,33.22,59,6,3.31,clear sky
112,Goderich,CA,43.7501,-81.7165,50.92,72,100,28.39,overcast clouds
113,Romny,UA,50.751,33.4747,39.13,71,0,6.82,clear sky
114,Lorengau,PG,-2.0226,147.2712,81.01,85,100,11.7,overcast clouds
115,Broadstairs,GB,51.3591,1.4394,51.82,73,100,5.01,overcast clouds
116,Te Anau,NZ,-45.4167,167.7167,54.48,69,100,7.74,overcast clouds
117,Coihaique,CL,-45.5752,-72.0662,53.55,54,0,0.0,clear sky
118,Merauke,ID,-8.4667,140.3333,85.41,71,46,10.69,scattered clouds
119,Kabalo,CD,-6.05,26.9167,69.33,97,100,0.87,overcast clouds
120,Kapaa,US,22.0752,-159.319,82.38,78,90,4.0,overcast clouds
121,Puerto Ayora,EC,-0.7393,-90.3518,69.6,90,44,7.31,scattered clouds
122,San Cristobal,VE,7.7669,-72.225,66.38,98,99,0.94,light rain
123,Okha,RU,53.5739,142.9478,31.69,52,6,8.5,clear sky
124,Bluff,NZ,-46.6,168.3333,54.3,75,100,29.24,overcast clouds
125,Constitucion,CL,-35.3333,-72.4167,51.53,91,73,2.86,broken clouds
126,Orchard Homes,US,46.8633,-114.0484,42.94,39,1,5.75,clear sky
127,Tilichiki,RU,60.4667,166.1,-2.13,90,7,11.77,clear sky
128,Leningradskiy,RU,69.3833,178.4167,-1.91,87,99,12.68,overcast clouds
129,Lebu,CL,-37.6167,-73.65,50.92,93,17,5.99,few clouds
130,Porto Santo,PT,33.072,-16.3415,71.51,94,40,9.22,scattered clouds
131,Upernavik,GL,72.7868,-56.1549,29.25,77,100,13.38,overcast clouds
132,Yellowknife,CA,62.456,-114.3525,32.56,99,90,14.97,overcast clouds
133,Seymchan,RU,62.8833,152.4333,-0.58,83,38,4.29,scattered clouds
134,Freeport,US,40.6576,-73.5832,60.78,70,20,5.99,few clouds
135,Shingu,JP,33.7333,135.9833,70.79,64,47,3.91,scattered clouds
136,Vengurla,IN,15.8667,73.6333,77.95,71,100,1.7,overcast clouds
137,Manakara,MG,-22.1333,48.0167,71.26,93,74,7.58,light rain
138,Lusaka,ZM,-15.4067,28.2871,72.48,38,4,3.71,clear sky
139,Husavik,IS,66.0449,-17.3389,33.71,99,100,19.95,light snow
140,College,US,64.8569,-147.8028,51.46,49,75,4.61,broken clouds
141,Shaunavon,CA,49.6501,-108.4181,26.38,64,0,7.31,clear sky
142,Iqaluit,CA,63.7506,-68.5145,29.7,86,87,8.99,overcast clouds
143,Marshfield,US,44.6689,-90.1718,42.53,65,75,8.05,broken clouds
144,Saint-Philippe,RE,-21.3585,55.7679,68.22,86,74,11.05,broken clouds
145,Izberbash,RU,42.5696,47.8645,53.65,90,100,2.59,overcast clouds
146,Egvekinot,RU,66.3167,-179.1667,-0.02,83,94,6.15,overcast clouds
147,Panindicuaro,MX,19.9667,-101.7667,60.39,76,100,4.65,overcast clouds
148,Pavilosta,LV,56.8879,21.1859,46.35,80,39,11.41,scattered clouds
149,Thompson,CA,55.7435,-97.8558,30.36,80,75,10.36,light shower snow
150,Diffa,NE,13.3154,12.6113,80.82,22,100,10.29,overcast clouds
151,Nanortalik,GL,60.1432,-45.2371,33.85,68,92,9.78,overcast clouds
152,Kjollefjord,NO,70.9457,27.3465,32.23,84,100,13.65,overcast clouds
153,Saldanha,ZA,-33.0117,17.9442,62.65,76,100,11.32,light rain
154,Finnsnes,NO,69.2296,17.9811,42.76,92,100,5.35,overcast clouds
155,Hirara,JP,24.8,125.2833,80.87,61,20,10.36,few clouds
156,Tautira,PF,-17.7333,-149.15,84.22,73,18,13.49,few clouds
157,Cabedelo,BR,-6.9811,-34.8339,79.47,78,92,11.99,overcast clouds
158,Vagur,FO,61.4732,-6.8119,44.76,74,100,19.37,overcast clouds
159,Hilo,US,19.7297,-155.09,80.33,79,40,9.22,scattered clouds
160,Mahibadhoo,MV,3.7833,72.9667,83.5,71,14,20.58,few clouds
161,Avarua,CK,-21.2078,-159.775,77.05,69,75,17.27,broken clouds
162,Ancud,CL,-41.8697,-73.8203,58.53,82,0,7.78,clear sky
163,Northam,GB,51.0333,-4.2167,52.25,80,48,24.16,scattered clouds
164,Ilulissat,GL,69.2167,-51.1,32.02,93,75,14.97,light snow
165,Lakes Entrance,AU,-37.8811,147.981,71.58,56,100,6.91,overcast clouds
166,Baoqing,CN,46.3317,132.2111,38.21,35,18,4.18,few clouds
167,Bereda,ES,43.2686,-7.5406,53.42,94,97,4.97,overcast clouds
168,Kralendijk,BQ,12.15,-68.2667,80.58,78,90,8.05,overcast clouds
169,Mandera,KE,3.9366,41.867,78.1,66,0,11.45,clear sky
170,Pevek,RU,69.7008,170.3133,1.81,94,100,6.2,light snow
171,Tiznit,MA,29.5833,-9.5,63.3,40,0,1.32,clear sky
172,Susanville,US,40.4163,-120.653,55.24,47,1,8.05,clear sky
173,Atar,MR,20.5169,-13.0499,80.6,20,0,5.17,clear sky
174,Kodiak,US,57.79,-152.4072,42.8,90,100,8.63,overcast clouds
175,Bandrele,YT,-12.9067,45.1914,78.55,78,20,6.91,few clouds
176,Yarensk,RU,62.1675,49.0916,35.1,99,100,3.06,overcast clouds
177,Teeli,RU,51.0333,90.2333,28.85,61,21,5.86,few clouds
178,Port Moresby,PG,-9.4431,147.1797,89.02,66,40,6.91,haze
179,Carupano,VE,10.6678,-63.2585,77.47,86,100,6.82,overcast clouds
180,Saint-Jean-De-Braye,FR,47.913,1.9771,49.03,91,0,1.01,clear sky
181,Meulaboh,ID,4.1363,96.1285,77.38,84,100,3.31,overcast clouds
182,Abu Samrah,SY,35.3029,37.1841,65.57,59,3,8.37,clear sky
183,San Policarpo,PH,12.1791,125.5072,82.56,78,74,15.26,broken clouds
184,Olafsvik,IS,64.8945,-23.7142,34.86,71,22,17.31,few clouds
185,Araouane,ML,18.9048,-3.5265,82.51,20,100,11.3,overcast clouds
186,Cidreira,BR,-30.1811,-50.2056,67.87,88,9,21.27,clear sky
187,Sindor,RU,62.8629,51.8905,25.99,88,100,6.8,overcast clouds
188,Hue,VN,16.4667,107.6,78.91,89,75,4.61,broken clouds
189,Ewa Beach,US,21.3156,-158.0072,83.57,62,20,10.0,few clouds
190,Katsuura,JP,35.1333,140.3,68.18,83,100,6.42,overcast clouds
191,Zhob,PK,31.3411,69.4481,54.64,29,0,2.71,clear sky
192,Ust-Omchug,RU,61.15,149.6333,-7.33,95,33,1.83,scattered clouds
193,Sioux Lookout,CA,50.1001,-91.917,33.87,93,90,8.05,light shower snow
194,Mabaruma,GY,8.2,-59.7833,73.71,95,90,2.24,overcast clouds
195,Cherskiy,RU,68.75,161.3,-0.06,97,100,5.79,overcast clouds
196,Houlton,US,46.1262,-67.8403,55.69,83,75,5.75,broken clouds
197,Chumikan,RU,54.7183,135.315,30.0,47,20,16.35,few clouds
198,Ugoofaaru,MV,5.6667,73.0,82.11,75,100,16.46,overcast clouds
199,Guaruja,BR,-23.9931,-46.2564,75.16,26,100,1.01,overcast clouds
200,Iracoubo,GF,5.4802,-53.2011,79.05,83,72,8.81,broken clouds
201,Aras,ES,42.5617,-2.356,54.72,100,20,1.14,light rain
202,Yumen,CN,40.2833,97.2,40.75,31,100,7.81,overcast clouds
203,Baykit,RU,61.67,96.37,20.01,96,100,3.33,light snow
204,Zemio,CF,5.0314,25.1361,70.63,93,100,1.07,overcast clouds
205,Torbay,CA,47.6666,-52.7314,45.28,93,75,17.27,broken clouds
206,Aklavik,CA,68.2191,-135.0107,34.52,87,100,9.8,overcast clouds
207,Yaan,NG,7.3833,8.5667,74.88,85,63,5.46,broken clouds
208,Saint-Pierre,RE,-21.3393,55.4781,68.29,72,0,3.44,clear sky
209,Najran,SA,17.4924,44.1277,61.45,49,0,2.57,clear sky
210,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,40,3.44,scattered clouds
211,Mukhen,RU,48.1,136.1,38.43,39,0,1.59,clear sky
212,Point Pedro,LK,9.8167,80.2333,80.94,82,65,8.68,broken clouds
213,Lang Son,VN,21.8333,106.7333,64.02,97,100,4.94,overcast clouds
214,Vanimo,PG,-2.6741,141.3028,82.42,79,99,2.1,light rain
215,Fairbanks,US,64.8378,-147.7164,44.94,49,20,6.91,few clouds
216,Rocha,UY,-34.4833,-54.3333,61.39,99,89,4.16,overcast clouds
217,Sao Filipe,CV,14.8961,-24.4956,79.39,78,99,6.46,overcast clouds
218,Luba,GQ,3.4568,8.5547,79.03,86,98,7.56,moderate rain
219,General Pico,AR,-35.6566,-63.7568,52.18,96,100,8.66,moderate rain
220,Gorom-Gorom,BF,14.4439,-0.2361,86.59,14,100,7.49,overcast clouds
221,Trincomalee,LK,8.5711,81.2335,80.49,84,16,9.17,few clouds
222,Flinders,AU,-34.5833,150.8552,76.17,57,100,4.0,overcast clouds
223,Pisco,PE,-13.7,-76.2167,63.01,82,0,16.11,clear sky
224,Airai,TL,-8.9266,125.4092,73.96,47,55,2.13,broken clouds
225,Ahipara,NZ,-35.1667,173.1667,60.94,64,98,14.43,overcast clouds
226,Lincoln,US,40.8,-96.667,45.28,57,90,3.44,overcast clouds
227,Morros,BR,-9.4467,-46.3003,76.86,65,99,1.63,overcast clouds
228,Tateyama,JP,34.9833,139.8667,68.14,85,98,11.14,overcast clouds
